| **Recursos**                                                                                                                             | **Master (R$ 75,90/mês)** | **Pro (R$ 109,90/mês)** | **Premium (R$ 169,90/mês)** |
| ---------------------------------------------------------------------------------------------------------------------------------------- | ------------------------- | ----------------------- | --------------------------- |
| **FORMAÇÕES**                                                                                                                            |                           |                         |                             |
| Formação Fundamental em Pesquisa Científica                                                                                              | ✔                         | ✔                       | ✔                           |
| Formação Completa em Análise de Dados com R                                                                                              | —                         | ✔                       | ✔                           |
| Formação Avançada em Métodos Científicos<br><sub>Modelos Mistos, Metanálise, Psicometria, Dados Textuais e Estudos Epidemiológicos</sub> | —                         | ✔                       | ✔                           |
|                                                                                                                                          |                           |                         |                             |
| **FORMAÇÕES ESPECIAIS**                                                                                                                  |                           |                         |                             |
| Curso de Preparação para Concursos                                                                                                       | —                         | —                       | ✔                           |
| IA para Pesquisas Científicas                                                                                                            | —                         | —                       | ✔                           |
| Formação Viver de Análise de Dados                                                                                                       | —                         | —                       | ✔                           |
|                                                                                                                                          |                           |                         |                             |
| **FERRAMENTAS ESTATÍSTICAS**                                                                                                             |                           |                         |                             |
| Calculadora de Tamanho Amostral                                                                                                          | ✔                         | ✔                       | ✔                           |
| Calculadora de Tamanho de Efeito                                                                                                         | ✔                         | ✔                       | ✔                           |
| Classificador de Análises Estatísticas                                                                                                   | ✔                         | ✔                       | ✔                           |
| Gerador de Sintaxe em R                                                                                                                  | ✔                         | ✔                       | ✔                           |
|                                                                                                                                          |                           |                         |                             |
| **RECURSOS DIDÁTICOS**                                                                                                                   |                           |                         |                             |
| Biblioteca Eletrônica                                                                                                                    | ✔                         | ✔                       | ✔                           |
| Glossário Acadêmico                                                                                                                      | ✔                         | ✔                       | ✔                           |
| Livros Metodológicos                                                                                                                     | ✔                         | ✔                       | ✔                           |
| Certificados de conclusão                                                                                                                | ✔                         | ✔                       | ✔                           |
|                                                                                                                                          |                           |                         |                             |
| **SUPORTE**                                                                                                                              |                           |                         |                             |
| Chatbot                                                                                                                                  | ✔                         | ✔                       | ✔                           |
| Comunidade de alunos                                                                                                                     | ✔                         | ✔                       | ✔                           |
| Suporte por email                                                                                                                        | —                         | ✔                       | ✔                           |
| Suporte direto pela plataforma                                                                                                           | —                         | ✔                       | ✔                           |
|                                                                                                                                          |                           |                         |                             |
| **INTELIGÊNCIA ARTIFICIAL**                                                                                                              |                           |                         |                             |
| Tokens incluídos por mês                                                                                                                 | **100.000**               | **300.000**             | **500.000**                 |
